ScripCode,TradingSymbol,Description,InstrumentType
17598,ASALCBR-EQ,ASSO ALCOHOLS & BREW LTD,0
15030,ASCOM-ST,ASCOM LEASIN & INVEST LTD,0
203,ASHAPURMIN-EQ,ASHAPURA MINECHEM LTD,0
24403,ASHIANA-EQ,ASHIANA HOUSING LTD,0
206,ASHIMASYN-EQ,ASHIMA LTD,0
20182,ASHOKA-EQ,ASHOKA BUILDCON LTD,0
16943,ASHOKAMET-EQ,ASHOKA METCAST LIMITED,0
212,ASHOKLEY-EQ,ASHOK LEYLAND LTD,0
7030,ASIANENE-EQ,ASIAN ENERGY SERVICES LTD,0
18425,ASIANHOTNR-BE,ASIAN HOTELS (NORTH) LTD,0
236,ASIANPAINT-EQ,ASIAN PAINTS LIMITED,0
14889,ASIANTILES-EQ,ASIAN GRANITO IND. LTD.,0
20152,ASKAUTOLTD-EQ,ASK AUTOMOTIVE LIMITED,0
20503,ASLIND-ST,ASL INDUSTRIES LIMITED,0
14064,ASMS-EQ,BARTRONICS INDIA LIMITED,0
17270,ASPINWALL-EQ,ASPINWALL & CO LTD,0
23396,ASPIRE-SM,ASPIRE & INNOVATIVE ADV L,0
17728,ASTEC-EQ,ASTEC LIFESCIENCES LTD,0
1508,ASTERDM-EQ,ASTER DM HEALTHCARE LTD.,0
14418,ASTRAL-EQ,ASTRAL LIMITED,0
11618,ASTRAMICRO-EQ,ASTRA MICROWAVE LTD,0
5610,ASTRAZEN-EQ,ASTRAZENECA PHARMA IND LT,0
880,ASTRON-BE,ASTRON PAPER BORD MIL LTD,0
15653,ATALREAL-BE,ATAL REALTECH LIMITED,0
15411,ATAM-BE,ATAM VALVES LIMITED,0
1663,ATFL-EQ,AGRO TECH FOODS LIMITED,0
6066,ATGL-EQ,ADANI TOTAL GAS LIMITED,0
17778,ATL-EQ,ALLCARGO TERMINALS LTD,0
13582,ATLANTAA-BE,ATLANTAA LIMITED,0
22785,ATMASTCO-SM,ATMASTCO LIMITED,0
263,ATUL-EQ,ATUL LTD,0
30023,ATULAUTO-EQ,ATUL AUTO LIMITED,0
21238,AUBANK-EQ,AU SMALL FINANCE BANK LTD,0
18762,AURDIS-SM,AURANGABAD DISTILLERY LTD,0
12022,AURIONPRO-EQ,AURIONPRO SOLN LTD,0
15869,AUROIMPEX-SM,AURO IMPEX & CHEMICALS L,0
275,AUROPHARMA-EQ,AUROBINDO PHARMA LTD,0
10310,AURUM-EQ,AURUM PROPTECH LIMITED,0
23662,AURUMPP1-E1,AURUM RS. 3.12 PPD UP,0
9035,AUSOMENT-BE,AUSOM ENTERPRISE LIMITED,0
278,AUTOAXLES-EQ,AUTOMOTIVE AXLES LIMITED,0
7880,AUTOBEES-EQ,NIPPONAMC - NETFAUTO,0
7844,AUTOIETF-EQ,ICICIPRAMC - ICICIAUTO,0
14106,AUTOIND-EQ,AUTOLINE INDUSTRIES LTD,0
21406,AVADHSUGAR-EQ,AVADH SUG & ENERGY LTD,0
15058,AVALON-EQ,AVALON TECHNOLOGIES LTD,0
7936,AVANTIFEED-EQ,AVANTI FEEDS LIMITED,0
15589,AVG-EQ,AVG LOGISTICS LIMITED,0
13566,AVONMORE-BE,AVONMORE CAP&MGT SERV LTD,0
23159,AVPINFRA-SM,AVP INFRACON LIMITED,0
8827,AVROIND-EQ,AVRO INDIA LIMITED,0
18693,AVSL-ST,AVSL INDUSTRIES LIMITED,0
14008,AVTNPL-EQ,AVT NATURAL PRODUCTS LTD,0
23864,AWFIS-EQ,AWFIS SPACE SOLUTIONS LTD,0
1797,AWHCL-EQ,ANTONY WASTE HDG CELL LTD,0
8110,AWL-EQ,ADANI WILMAR LIMITED,0
5900,AXISBANK-EQ,AXIS BANK LIMITED,0
1044,AXISBNKETF-EQ,AXISAMC - AXISBNKETF,0
